dataset,metric,baseline_mean,method_mean,delta_method_minus_baseline,baseline_num_runs,method_num_runs
zh_en,l2r_hits@1,0.6641,0.6642,0.0001,2,2
zh_en,l2r_hits@10,0.9163,0.9163,0.0,2,2
zh_en,l2r_mrr,0.75,0.75,0.0,2,2
zh_en,r2l_hits@1,0.6643,0.6643,0.0,2,2
zh_en,r2l_hits@10,0.9147,0.9147,0.0,2,2
zh_en,r2l_mrr,0.7505,0.7505,0.0,2,2
FBDB15K,l2r_hits@1,0.2182,0.2182,0.0,2,2
FBDB15K,l2r_hits@10,0.5278,0.5279,0.0001,2,2
FBDB15K,l2r_mrr,0.3205,0.32,-0.0005,2,2
FBDB15K,r2l_hits@1,0.2167,0.2168,0.0001,2,2
FBDB15K,r2l_hits@10,0.5301,0.5301,0.0,2,2
FBDB15K,r2l_mrr,0.3205,0.3205,0.0,2,2
